row_id,Summary
7449,"URBANE Women Black Woven Design Peep Toes, priced at INR 1979."
7450,"justpeachy Oxidised Silver-Toned & Black Dome Shaped Jhumkas, priced at INR 419."
7451,"Lavie Purple Solid Sling Bag with a button closure, priced at INR 3199."
7452,"Aujjessa Women Beige & Maroon Floral Printed Straight Kurta, priced at INR 1299."
7453,"AURELIA Women Burgundy Self Design Cardigan, priced at INR 879."
7454,"WROGN Men Maroon Solid Bomber Jacket with 4 pockets, priced at INR 1899."
7455,"WROGN Men Black Solid Slim Fit Round Neck T-shirt, priced at INR 1299."
7456,"justpeachy Pink & Gold-Toned Teardrop Shaped Drop Earrings, priced at INR 447."
7457,"AURELIA Women Black Solid Cropped Trousers, priced at INR 759."
7458,"AURELIA Women Navy Blue Solid Flared Palazzos, priced at INR 1299."
7459,"WROGN Men Navy Blue & Grey Slim Fit Checked Casual Shirt, priced at INR 1379."
7460,"Street Style Store Women Black & Sea Green Embellished One Toe Flats, priced at INR 599."
7461,"Alina decor Peach-Coloured & Silver-Toned Set of 2 Ethnic Motifs Rectangle Cushion Covers, priced at INR 571."
7461,"A unisex set of 2 peach-coloured and silver-toned rectangle cushion covers from Alina decor, featuring ethnic motifs and zip closure."
7462,"A black solid slim fit sweatshirt for men from WROGN, featuring long sleeves and a turtle neck."
7463,A unisex set of 5 abstract square cushion covers from Alina decor with zip closures.
7464,"A red solid two-fold wallet for women from Lavie, featuring a button closure, multiple compartments, and card holders."
7465,"Unisex green wayfarer sunglasses from GIO COLLECTION with UV protected lenses and polycarbonate frames, suitable for oval face shapes."
7466,"A black unisex Forerunner 945 smartwatch from Garmin with music storage, performance monitoring, Garmin Pay, full-color maps, safety features, and long battery life."
7467,"A red solid handheld bag from Lavie for women, featuring a zip closure, multiple pockets, and detachable sling strap."
7468,"A black solid overcoat for women from AURELIA, featuring a spread collar, button closure, long sleeves, and fleece lining."
7469,"A brown and navy blue slim fit checked casual shirt for men from WROGN, featuring a spread collar and a patch pocket."
7470,"An off-white & blue striped straight kurta for women from AURELIA, featuring a mandarin collar and three-quarter sleeves."
7471,"A green solid backpack for unisex from Puma, featuring a zip closure, padded back and shoulder straps, and water resistance."
7472,"Black slim fit mid-rise clean look stretchable jeans for men from WROGN, featuring a button and zip closure."
7473,A maroon and golden printed straight kurta for women from AURELIA with sequinned detail and a round neck.
7474,"A blue & black colourblocked backpack for unisex from Puma, featuring a zip closure, padded back and shoulder straps, and water resistance."
7475,"A mustard yellow yoke design straight winter kurta for women from AURELIA, featuring a round neck and long sleeves."
7476,"Black skinny fit mid-rise clean look stretchable jeans for men from WROGN, featuring a button and zip closure."
7477,A burgundy solid slim fit round neck T-shirt for men from WROGN with short sleeves.
7478,"A pink solid three-fold wallet for women from Lavie, featuring a button closure, multiple compartments and card holders."
7479,A white and black printed slim fit Henley neck T-shirt for men from WROGN with long sleeves.
7480,"A silver-toned & black Taurus sign necklace for men from UNKNOWN by Ayesha, featuring metal with artificial beads and a slip-on closure."
7481,"Blue skinny fit mid-rise clean look stretchable jeans for men from WROGN, featuring a button and zip closure."
7482,"Blue slim fit mid-rise clean look stretchable jeans for men from WROGN, featuring a button and zip closure."
7483,"A black solid jacket for women from HERE&NOW, featuring a lapel collar, zip closure, and long sleeves."
7484,"Unisex wayfarer sunglasses from GIO COLLECTION with red lenses, UV protection and polycarbonate frames, suitable for oval face shapes."
7485,A blue & silver printed straight kurta for women from AURELIA with sequinned and gathered detail and a mandarin collar.
7486,"A gold-toned solid backpack for women from KLEIO, featuring a magnetic button closure and non-padded straps."
7487,Silver-Toned Leaf Shaped Drop Earrings Secured with a fish hook earwire from justpeachy for women.
7488,"A teal blue & silver printed kurta with churidar & dupatta set for women from AURELIA, featuring an Anarkali kurta with a mandarin collar and flared hem."
7489,"A burgundy solid puffer jacket for women from HERE&NOW, featuring a hooded and zip closure."
7490,A grey & black striped hooded sweatshirt for men from HERE&NOW with long sleeves.
7491,"A navy blue & yellow striped pullover sweater for men from WROGN, featuring a round neck and long sleeves."
7492,"An orange & off-white printed straight kurta for women from AURELIA, featuring a mandarin collar and three-quarter sleeves."
7493,"A black solid bomber jacket for men from WROGN, featuring a hooded and zip closure."
7494,"A navy blue solid straight kurta for boys from BownBee, featuring a mandarin collar and short sleeves."
7495,"An olive green & beige solid reversible puffer jacket for women from HERE&NOW, featuring a hooded and zip closure."
7496,"A nude lace full-coverage Everyday bra from Soie for women, featuring Non Padded and Non-Wired seamless lace cups."
7497,"An off-white & yellow self-design kurta with palazzos set for women from AURELIA, featuring a sleeveless kurta and solid palazzos with a self-design layer."
7498,A magenta & golden printed maxi flared skirt for women from AURELIA with an elasticated waistband.
7499,An olive green solid hooded slim fit T-shirt for men from WROGN with short sleeves.
7500,"A burgundy & golden printed kurta with palazzos set for women from AURELIA, featuring a straight kurta and printed longline layer with embellished detail."
7501,"Blue light wash 5-pocket mid-rise jeans for men from WROGN, featuring a button and zip closure."
7502,"A red and navy blue colourblocked jacket for boys from t-base, featuring a hooded and zip closure."
7503,"Olive Green solid mid-rise cargo shorts for men from WROGN, featuring 6 pockets and a button closure."
7504,"A black solid knitted winter straight kurta for women from AURELIA, featuring a mandarin collar and long sleeves."
7505,A teal set of 2 self design rectangle cushion covers from Alina decor with zip closure.
7506,A black & silver-toned set of 2 ethnic motifs rectangle cushion covers from Alina decor with zip closure.
7507,"Brown solid mid-rise chinos for men from Jack & Jones, featuring a button closure and 5 pockets."
7508,"A navy blue solid denim jacket for women from Style Quotient, featuring a spread collar and button closure."
7509,"A green woven design straight kurta for women from AURELIA, featuring a mandarin collar and three-quarter sleeves."
7510,"A grey brand logo backpack for unisex from Puma, featuring a zip closure, padded mesh back and shoulder straps, and water resistance."
7511,A black & pink yoke design A-line kurta for women from AURELIA with sequinned detail and a round collar.
7512,"A maroon & beige printed midi A-line dress for women from GERUA, featuring a tie-up neck and short sleeves."
7513,"A navy blue solid pullover sweater for men from WROGN, featuring a round neck and long sleeves."
7514,A navy blue & black colourblocked sweatshirt for men from YWC with long sleeves.
7515,"Black mildly distressed jeans for men from WROGN, featuring a button and zip closure."
7516,A pair of gold-toned & black pointed toe pumps for women from Kraft Cellar with block heel.
7517,A pair of blue & grey running sports shoes for women from Campus with lace-up closure.
7518,A charcoal grey woven design shawl for women from AURELIA with taselled border.
7519,Silver-Toned and gold-toned necklace for women from Blisscovered with drawstring closure.
7520,"Purple and Grey printed casual shirt for men from Jack & Jones, featuring a spread collar and button placket."
7521,Maroon solid mid-rise cropped trousers for women from AURELIA with slip-on closure.
7522,"A blue, silver and peach-coloured printed straight kurta for women from AURELIA, featuring a mandarin collar and three-quarter sleeves."
7523,"An Off-White and Blue striped A-line kurta for women from AURELIA, featuring a round neck and three-quarter sleeves."
7524,Mustard yellow solid mid-rise cropped trousers for women from AURELIA with elasticated waistband.
7525,Navy Blue solid backpack has tassel detail on flap for women from Global Desi with drawstring closure.
7526,"Red printed jacket for girls from t-base, featuring a mock collar and zip closure."
7527,Silver solid knitted churidar length leggings for women from AURELIA with elasticated waistband.
7528,"Navy Blue solid three fold wallet for women from Lavie, featuring a button closure, multiple compartments and card holders."
7529,A pair of Pink and Gold-toned printed woven straight fit Palazzos for women from AURELIA.
7530,"Black solid woven regular top with embellished detail for women from Style Quotient, featuring a round neck and button closure."
7531,"Grey and Black striped straight kurta for women from Aujjessa, featuring a round neck and three-quarter sleeves."
7532,"Pink velvet finish straight kurta for women from AURELIA, featuring a round neck with button detail and long sleeves."
7533,"Grey printed straight kurta for women from Aujjessa, featuring a mandarin collar and three-quarter sleeves."
7534,"Olive green and pink printed straight kurta for women from AURELIA, featuring a mandarin collar and button closure."
7535,Charcoal grey and golden printed straight kurta for women from AURELIA with sequinned detail and a round neck.
7536,"White and Black colourblocked T-shirt for men from WROGN, featuring a polo collar and short sleeves."
7537,"Dusty pink textured hobo bag for women from Lavie, featuring a zip closure and adjustable handle."
7538,"Beige and Yellow printed straight kurta for women from Aujjessa, featuring a round neck and three-quarter sleeves."
7539,"Black and Off-white colourblocked T-shirt for men from WROGN, featuring a round neck and short sleeves."
7540,"Blue and golden printed straight kurta for women from AURELIA, featuring a notched round neck and three-quarter sleeves."
7541,"Black solid jacket for men from WROGN, featuring a stand collar and zip closure."
7542,"Black and burgundy colourblocked sweatshirt for men from WROGN, featuring a hood and zip closure."
7543,Soft jersey knit tank top for girls from GAP with shirring and paneling at yoke.
7544,"Black solid bomber jacket for men from WROGN, featuring a mandarin collar and zip closure."
7544,"WROGN men's black slim fit solid bomber jacket with a mandarin collar, zip closure, and polyester lining."
7545,Saral Home blue striped microfibre runner with anti-skid feature.
7546,WROGN men's navy blue and olive green colourblocked hooded sweatshirt with a zip closure.
7547,"Blisscovered gold-toned and beige necklace with crystals and flower petal stones, featuring a slip-on closure."
7548,AURELIA women's blue and golden printed straight kurta with a keyhole neck and three-quarter sleeves.
7549,AURELIA women's pink and golden printed maxi flared skirt with an elasticated waistband.
7550,Studio Voylla silver-plated and yellow circular drop earrings with a post and back closure.
7551,WROGN men's solid slim fit denim jacket with a spread collar and button closure.
7552,"Puma unisex olive green solid Buzz backpack with padded straps and multiple compartments, suitable for laptops up to 16 inches."
7553,AURELIA women's teal blue and golden printed straight kurta with sequinned detail and a mandarin collar.
7554,"GERUA women's green and pink printed kurta with trousers, featuring a notched round neck and partially elasticated waistband."
7555,AURELIA women's grey woven design straight kurta with a round neck and long sleeves.
7556,"Lavie coral red solid handheld bag with a zip closure, multiple pockets, and a detachable sling strap."
7557,AURELIA women's beige and golden printed maxi flare skirt with an elasticated waistband and attached lining.
7558,AURELIA women's olive green and golden printed straight winter kurta with a round neck and three-quarter sleeves.
7559,AURELIA women's black velvet finish self design longline shrug with button closure.
7560,AURELIA women's green and golden printed maxi skirt with a slip-on closure.
7561,AURELIA women's beige solid straight kurta with a mandarin collar and button placket.
7562,AURELIA women's navy blue and white yoke design straight kurta with a mandarin collar.
7563,Global Desi yellow textured shoulder bag with a button closure and multiple pockets.
7564,"GERUA women's coral pink and golden block print kurta with palazzos, featuring a notched round neck and partially elasticated waistband."
7565,GERUA women's maroon and golden block print woven A-line dress with a mandarin collar and button closures.
7566,AURELIA women's orange and black striped layered straight kurta with a round neck.
7567,Lavie women's grey solid zip around wallet with multiple compartments and card holders.
7568,NBA men's grey melange printed T-shirt with a hood and sleeveless design.
7569,AURELIA women's green printed straight kurta with sequined detail and a round neck.
7570,KLEIO women's black solid backpack with magnetic button closure and non-padded straps.
7571,Lavie women's purple embellished three fold wallet with a button closure and a detachable sling strap.
7572,WROGN men's navy blue and white slim fit printed casual shirt with a spread collar and button placket.
7573,Lavie women's copper-toned textured zip around wallet with multiple compartments and card holders.
7574,WROGN men's blue checked casual shirt with a spread collar and button placket.
7575,Lavie pink textured sling bag with a zip closure and multiple pockets.
7576,YWC men's blue regular fit solid casual shirt with a spread collar and button placket.
7577,WROGN men's rust red slim fit printed casual shirt with a spread collar and button placket.
7578,AURELIA women's lime green and silver printed A-line kurta with a round neck and high-low hem.
7579,AURELIA women's mustard yellow foil print straight kurta with a round neck and flared hem.
7580,AURELIA women's black solid cropped palazzos with a partially elasticated waistband.
7581,AURELIA women's navy blue printed A-line kurta with a round neck and flared hem.
7582,URBANE women's black textured heels with a block heel.
7583,WROGN men's grey dyed round neck T-shirt with short sleeves.
7584,PUMA Motorsport unisex grey & navy blue RBR lifestyle textured laptop backpack with padded straps and multiple compartments.
7585,"AURELIA women's white & yellow printed kurta with palazzos & dupatta, featuring sequinned detail and a partially elasticated waistband."
7586,Alina decor set of 2 embellished rectangle cushion covers with a zip closure.
7587,Studio Voylla women's multi-coloured silver-plated enamelled mirror design finger ring.
7588,Canary London men's blue colourblocked lightweight jacket with a mock collar and zip closure.
7589,GAP girls navy blue printed round neck T-shirt with short sleeves.
7590,Taavi Women Rust Orange Kalamkari Hand Block Printed Pleated A-line Top with Kalamkari hand block print.
7591,justpeachy Gold-Toned & Green Oval Drop Earrings Secured with a post and back.
7592,Puma unisex maroon brand logo originals backpack with padded straps and multiple compartments.
7593,Enamor red butterfly cleavage enhancer padded wired plunge push-up bra with regular straps.
7594,Ecko Unltd men's olive green slim fit camouflage printed casual shirt with a spread collar and button placket.
7595,BERING women's black analogue watch with a stainless steel strap and water resistance.
7596,20Dresses women's maroon solid A-line dress with a V-neck and button closure.
7597,AURELIA women's green & golden printed wide leg palazzos with a partially elasticated waistband.
7598,Alina decor Multicoloured Set of 2 Embellished Rectangle Cushion Covers with a zip closure.
7599,WROGN men's charcoal grey solid round neck T-shirt with long sleeves.
7600,AURELIA women's black self design cardigan with button closures.
7601,Style Quotient women's burgundy solid top with embellished detail and a round neck.
7602,AURELIA women's grey & golden printed A-line kurta with sequins detail and a round neck.
7603,MBOSS unisex tan brown solid laptop bag with padded laptop sleeve.
7604,"AURELIA women's navy blue & golden embroidered angrakha kurta with churidar & dupatta, featuring panelled and tie-up detail."
7605,"Blisscovered Gold-Toned circular tasselled pendant with chain, has artificial stone, secured with a lobster closure."
7606,"AURELIA women's blue self-design kurta with skirt & dupatta, featuring a round neck and partially elasticated waistband."
7607,Jack & Jones men's brown & white striped slim fit polo collar T-shirt with short sleeves.
7608,AURELIA women's pink & yellow yoke design straight kurta with a mandarin collar.
7609,Studio Voylla Silver-Toned & Yellow Enamelled Geometric Drop Earrings Secured with a post and back.
7610,WROGN men's rust orange slim fit printed round neck T-shirt with short sleeves.
7611,AURELIA women's black & off-white striped straight kurta with a mandarin collar.
7612,Newport women's charcoal grey skinny fit solid treggings with a slip-on closure.
7613,WROGN men's charcoal grey tapered fit mid-rise clean look stretchable jeans with a button and zip closure.
7614,"ETHER White T-shirt, crafted from premium cotton."
7615,AURELIA women's green & pink woven design straight kurta with a round neck.
7616,"Alvaro Castagnino men's pink & silver-toned accessory gift set with a tie, pocket square and cufflinks."
7617,American Crew men's blue slim fit mid-rise clean look stretchable jeans with a button and zip closure.
7618,WROGN men's black solid slim fit denim jacket with a spread collar and button closure.
7619,Lavie women's black textured sling bag with a zip closure.
7620,WROGN men's cream-coloured solid polo collar T-shirt with short sleeves.
7621,Alina decor Multicoloured Set of 2 Embellished Rectangle Cushion Covers with a zip closure.
7622,YWC men's navy blue regular fit solid casual shirt with a spread collar and button placket.
7623,Style Quotient women's maroon & navy blue original straight fit striped parallel trousers with a partially elasticated waistband.
7624,Aurelia Women Orange & Silver Printed Flared Maxi Skirt with an elasticated waistband.
7625,WROGN Men Black Slim Fit Mid-Rise Clean Look Stretchable Jeans with a button and zip closure.
7625,WROGN Men's black slim fit mid-rise stretchable jeans.
7626,Alina decor set of 5 abstract square cushion covers.
7627,Alina decor sea green & silver-toned set of 2 ethnic motifs rectangle cushion covers.
7628,WROGN Men's maroon slim fit solid casual shirt with mandarin collar.
7629,AURELIA mustard yellow printed pure cotton A-line maxi skirt with elasticated waistband.
7630,"MBOSS Unisex blue solid laptop bag with two handles, padded laptop sleeve and warranty."
7631,Lavie Women's black & gunmetal-toned colourblocked three fold wallet.
7632,AURELIA Women's turquoise blue solid wide leg palazzos with partially elasticated waistband.
7633,AURELIA Women's navy blue self design cardigan with button closures.
7634,Alom Navy printed kurta with a round neck and three-quarter sleeves.
7635,WROGN Men's blue skinny fit mid-rise stretchable jeans.
7636,ether Men's olive green self design sweatshirt with a Henley neck.
7637,Lavie Women's purple solid handheld bag with multiple compartments and detachable sling strap.
7638,WROGN Men's khaki solid slim fit tailored jacket with a hood and zip closure.
7639,"Bhama Couture Women's black solid kurta with palazzos, featuring a mandarin collar and flared hem."
7640,NBA Men's navy blue solid regular fit sports shorts with pockets and drawstring closure.
7641,WROGN Men's red solid sweater with a round neck and ribbed hem.
7642,WROGN Men's black slim fit solid sweater with a round neck and ribbed hem.
7643,GIO COLLECTION Women's UV protected cateye sunglasses with plastic and metal frame.
7644,AURELIA Women's navy blue & golden yoke design kurta with palazzos & dupatta.
7645,Lavie Olive Green & Beige Colourblocked Shoulder Bag with a button closure and detachable handle.
7646,Global Desi mustard yellow solid shoulder bag with tassels and multiple pockets.
7647,ONLY black stretchable jeans with a zip fly and button closures.
7648,GIORDANO brown & off-white colourblocked shoulder bag with a zip closure and detachable sling strap.
7649,AURELIA Women's sea green & mustard yellow printed straight kurta.
7650,WROGN Men's black regular fit solid joggers with slip-on closure.
7651,NBA Men's grey melange solid hood T-shirt.
7652,Jack & Jones Men's blue Liam skinny fit low-rise mildly distressed stretchable jeans.
7653,AURELIA Women's purple & golden printed kurta with churidar & dupatta.
7654,justpeachy Gold-Toned & Beige Circular Drop Earrings with artificial beads and shell detail.
7655,WROGN Men's navy blue self design jacket with a mandarin collar and zip closure.
7656,DOT & KEY Zit Zapping Skin Clarifying Face Serum 30ml for acne-prone skin.
7657,Style Quotient Women's pink & black printed high-rise straight fit regular trousers.
7658,WROGN Men's black solid slim fit denim jacket with a stand collar and zip closure.
7659,WROGN Men's black & white slim fit printed casual shirt with a spread collar.
7660,WROGN Men's dark green solid bomber jacket with a hooded and zip closure.
7661,WROGN Men's olive green solid slim fit bomber jacket with a mock collar and zip closure.
7662,HERE&NOW Men's black & green colourblocked front-open sweatshirt with a mock collar and zip closure.
7663,AURELIA Women's rust orange & off-white striped straight kurta.
7664,AURELIA Women's pink & golden zari woven design kurta with churidar & dupatta.
7665,Saral Home green striped microfibre runner with anti-skid feature.
7666,Lavie Grey Solid Handheld Bag with a zip closure and detachable sling strap.
7667,YWC Men's grey solid regular fit blazer with a notched lapel and button closure.
7668,WROGN Men's charcoal grey slim fit solid sweatshirt with melange effect and side taping detail.
7669,Global Desi blue & navy blue solid sling bag with a button closure.
7670,Jack & Jones Men's navy blue & rust slim fit printed casual shirt with a button-down collar.
7671,GIO COLLECTION Unisex square sunglasses with UV protected lens and plastic and metal frame.
7672,Puma Unisex multicoloured graphic originals backpack with zip closure and padded shoulder strap.
7673,Style Quotient Women's sea green solid A-line top with three-quarter bell sleeves.
7674,pinwheel Women's navy blue A-line dress with a round neck and button closure.
7675,Lavie Black Textured Sling Bag with a zip closure and non-detachable sling strap.
7676,AURELIA Women's blue & off-white printed straight cropped palazzos with a partially elasticated waistband.
7677,AURELIA Women's red & orange printed straight kurta.
7678,Lotto Men's black solid sneakers with lace-up detail and synthetic upper.
7679,AURELIA Women's black yoke design A-line winter kurta with a mandarin collar and hook and eye closure.
7680,Studio Voylla Women's gold-toned chained finger ring with faux pearls and kundan stone studded.
7681,Aurelia Women's navy blue solid cropped treggings with an elasticated waistband.
7682,Aurelia Women's black solid cropped treggings with an elasticated waistband.
7683,AURELIA Women's navy blue & white striped with floral printed detail straight kurta.
7684,GERUA Women's peach-coloured & rust orange printed kurta with palazzos.
7685,AURELIA Women's charcoal grey regular fit self-checked trousers with belt loops and pockets.
7686,CHUTPUT Kids grey & blue solid sweater with a Henley neck.
7687,WROGN Men's green slim fit mid-rise clean look stretchable jeans.
7688,Style Quotient Women's white classic regular fit solid casual shirt with ruffled detail.
7689,IZOD Men's dark navy leather belt secured with a tang clasp.
7690,Lavie Mint Green Solid Handheld Bag with a zip closure and detachable sling strap.
7691,"Lavie Orange Solid Handheld Bag with a zip closure, Tablet sleeve and detachable sling strap."
7692,Skechers Men's purple square sunglasses with UV protected lens and plastic frame.
7693,MANOHARI Grey & Black Embroidered Saree with an embroidered border.
7694,WROGN Men's black solid hooded slim fit  sweatshirt with a zip closure.
7695,WROGN Men's white & blue slim fit printed casual shirt with a spread collar.
7696,Saral Home black & white striped microfibre runner with anti-skid feature.
7697,Kraft Cellar Women's navy blue solid heels with backstrap detail and wedge heel.
7698,WROGN Men's mustard yellow slim fit solid biker jacket with a stand collar and zip closure.
7699,WROGN Men's black solid slim fit round neck T-shirt.
7700,AURELIA Women's pink & golden printed A-line layered kurta with sequinned and tie-up detail.
7701,"AURELIA Women's navy blue striped zari detail empire A-line kurta with sequinned, pleated, tie-up and zari detail."
7702,AURELIA Women's grey & white printed flared cropped palazzos with slip on closure.
7703,WROGN Men's khaki solid jacket with a stand collar and zip closure.
7704,WROGN Men's blue slim fit mid-rise clean look stretchable jeans.
7705,Soie Green Lace Non-Wired Non Padded full coverage Everyday Bra.
7706,WROGN Men's navy blue & grey slim fit checked casual shirt with a spread collar.
7707,WROGN Men's navy blue solid polo collar T-shirt.
7708,WROGN Men's navy blue solid slim fit round neck T-shirt with elbow and shoulder detail.
7709,YWC Men's grey & black striped sweatshirt with round neck.
7710,AURELIA Women's brown & yellow printed knitted winter A-line kurta with tie-up detail.
7710,"AURELIA Women's Brown & Yellow Printed Knitted Winter A-Line Kurta with shirt collar, long sleeves, flared hem, concealed hook and eye closure and front slit, priced at INR 679."
7711,"Alina decor Grey Set of 2 Embellished Rectangle Cushion Covers, zip closure, for Unisex, priced at INR 615."
7712,"WROGN Men's Black Applique Detail Round Neck T-shirt with short sleeves, priced at INR 599."
7713,"Lavie Women's Blue Solid Three Fold Wallet with button closure, card holders, slip pockets and zip coin pocket, priced at INR 839."
7714,"Campus Sutra Women's Blue Jacket with stand collar, full button placket, long sleeves, two pockets, fleece inner lining, priced at INR 1999."
7715,"WROGN Men's Black Solid Sweatshirt with mock collar, two pockets, long sleeves, zip closure, straight hem, priced at INR 1999."
7716,"AURELIA Women's Black & Maroon Yoke Design A-Line Kurta with round neck and three-quarter sleeves, priced at INR 1699."
7717,"NBA Men's Grey Melange Printed Round Neck T-shirt with long sleeves, priced at INR 524."
7718,"Alina decor Black & White Set of 2 Self Design Rectangle Cushion Covers with embroidered detail and zip closure, for Unisex, priced at INR 505."
7719,"Lavie Beige Solid Shoulder Bag with zip closure, multiple compartments and detachable sling strap, for Women, priced at INR 1879."
